,Restaurant Name,City,Cuisine,Meal Name,Meal Price (€),Restaurant Rating,Meal Rating
0,Fusion Grove Kassel,Kassel,Italian,Parmigiana,50.5,2.7,3.4
1,Gourmet Barbecue Magdeburg,Magdeburg,Italian,Parmigiana,28.41,3.1,2.4
2,Heavenly Cuisine Göttingen,Göttingen,Japanese,Takoyaki,70.15,1.7,5.0
3,Savory Cellar Bremerhaven,Bremerhaven,Indian,Dal Makhani,2.4,3.0,3.2
4,Delicious House Kassel,Kassel,Japanese,Okonomiyaki,62.31,1.9,1.2
5,Golden Den Siegen,Siegen,Japanese,Unagi Don,32.83,2.8,4.8
6,Smoky Hub Bremerhaven,Bremerhaven,French,Cassoulet,31.62,4.1,3.8
7,Gourmet Palace Frankfurt am Main,Frankfurt am Main,Chinese,Sesame Chicken,13.84,3.6,3.4
8,Flavorful Diner Offenbach,Offenbach,Japanese,Okonomiyaki,64.32,3.2,1.6
9,Elegant Resto Pforzheim,Pforzheim,French,Croissant,2.58,3.2,3.2
10,Flavorful Cellar Magdeburg,Magdeburg,Japanese,Tonkatsu,21.79,3.7,4.5
11,Zesty Retreat Bonn,Bonn,Thai,Khao Pad Sapparod (Pineapple Fried Rice),22.68,2.7,2.0
12,Smoky Flavors Herne,Herne,French,Profiteroles,78.35,1.1,3.7
13,Succulent Palace Halle (Saale),Halle (Saale),Mediterranean,Hummus & Pita,78.0,4.7,4.9
14,Savory Cuisine Kassel,Kassel,French,Croissant,53.18,2.2,4.3
15,Juicy Delights Erlangen,Erlangen,Mexican,Quesadilla,59.17,1.2,1.9
16,Smoky Pizza House Herne,Herne,Turkish,Pide,71.86,3.8,3.0
17,Fresh Den Oberhausen,Oberhausen,Italian,Minestrone Soup,64.26,3.7,2.1
18,Gourmet Resto Frankfurt am Main,Frankfurt am Main,Italian,Caprese Salad,26.65,3.4,1.2
19,Vibrant Cafe Cologne,Cologne,Mexican,Burrito,44.96,2.4,2.4
20,Golden Heaven Salzgitter,Salzgitter,Thai,Pad Thai,43.45,3.6,4.8
21,Heavenly Grill Cologne,Cologne,Chinese,Mapo Tofu,36.08,2.5,2.7
22,Juicy Delights Wolfsburg,Wolfsburg,Mediterranean,Spanakopita,62.31,3.8,1.9
23,Exotic Grove Trier,Trier,French,Coq au Vin,40.98,3.1,1.0
24,Smoky Cuisine Bielefeld,Bielefeld,Japanese,Natto with Rice,71.88,3.5,2.5
25,Golden Feast Kassel,Kassel,Chinese,Dim Sum,55.59,4.9,4.4
26,Zesty Grove Erlangen,Erlangen,Japanese,Yakitori,60.42,2.0,4.3
27,Golden Food Spot Siegen,Siegen,Japanese,Udon Noodles,27.56,2.6,4.6
28,Tasty Palace Mülheim,Mülheim,French,Ratatouille,13.58,2.1,3.3
29,Rustic Eats Offenbach,Offenbach,Mexican,Ceviche,4.79,3.5,2.2
30,Cozy Eats Mannheim,Mannheim,German,Kartoffelsalat,67.1,4.4,2.6
31,Rustic Table Mainz,Mainz,Thai,Som Tum (Papaya Salad),30.85,2.0,2.4
32,Gourmet Cuisine Magdeburg,Magdeburg,Italian,Pasta Carbonara,48.07,1.3,3.0
33,Zesty Den Dresden,Dresden,Mediterranean,Dolma,40.37,4.3,2.7
34,Royal Cafe Leverkusen,Leverkusen,Mediterranean,Baba Ganoush,23.59,2.4,3.7
35,Smoky Cafe Gelsenkirchen,Gelsenkirchen,German,Eisbein mit Sauerkraut,11.93,1.6,2.8
36,Rustic Palace Offenbach,Offenbach,Turkish,Döner Kebab,2.74,1.4,3.1
37,Crispy Flavors Oberhausen,Oberhausen,Thai,Pad Thai,32.69,3.2,4.6
38,Crispy House Göttingen,Göttingen,German,Pretzel & Beer,66.24,4.9,3.4
39,Succulent Grill Nuremberg,Nuremberg,Turkish,Menemen,79.72,2.1,4.0
40,Zesty Burger Spot Erlangen,Erlangen,Thai,Kanom Krok (Coconut Pancakes),25.22,4.6,1.8
41,Savory Food Spot Duisburg,Duisburg,Chinese,Hot and Sour Soup,67.58,3.0,3.5
42,Tasty Retreat Hanover,Hanover,Thai,Massaman Curry,3.98,3.8,1.3
43,Royal Table Pforzheim,Pforzheim,Japanese,Unagi Don,12.88,2.9,1.5
44,Elegant Cuisine Duisburg,Duisburg,Japanese,Onigiri,21.62,3.7,3.3
45,Spicy Nest Mainz,Mainz,Chinese,Mapo Tofu,40.65,4.1,3.8
46,Fusion Cellar Stuttgart,Stuttgart,German,Maultaschen,4.54,1.8,4.9
47,Golden Grove Salzgitter,Salzgitter,Mediterranean,Saganaki,13.1,4.6,2.8
48,Fresh Bites Mannheim,Mannheim,Indian,Paneer Butter Masala,28.47,3.1,2.2
49,Authentic Diner Nuremberg,Nuremberg,Indian,Butter Chicken,6.0,1.1,1.4
50,Authentic Eats Halle (Saale),Halle (Saale),Thai,Khao Soi,41.83,4.1,4.1
51,Rustic Feast Cologne,Cologne,Thai,Satay Skewers,41.17,1.2,4.4
52,Fresh Hub Trier,Trier,German,Matjes Brötchen,33.08,1.4,1.4
53,Smoky Corner Reutlingen,Reutlingen,Mexican,Burrito,13.34,2.4,3.0
54,Sizzling Food Spot Gelsenkirchen,Gelsenkirchen,Mediterranean,Tzatziki,60.31,3.7,1.8
55,Authentic House Dresden,Dresden,Indian,Dosa,35.05,2.1,3.1
56,Elegant Corner Duisburg,Duisburg,Chinese,Century Egg Congee,42.6,1.2,4.1
57,Fusion Table Pforzheim,Pforzheim,Chinese,Bok Choy Stir Fry,64.32,2.6,1.7
58,Smoky Diner Essen,Essen,French,Soufflé,44.7,4.2,4.2
59,Savory Resto Erlangen,Erlangen,Turkish,Menemen,18.51,3.0,1.1
60,Juicy Tavern Wuppertal,Wuppertal,Thai,Thai Fried Rice,36.64,3.2,2.7
61,Exotic Cellar Bergisch Gladbach,Bergisch Gladbach,Turkish,Simit,12.26,1.0,4.1
62,Grand Den Herne,Herne,Mexican,Nachos,64.17,1.3,1.7
63,Sizzling Cellar Düsseldorf,Düsseldorf,Mexican,Enchiladas,63.79,3.3,3.1
64,Exotic Food Spot Oberhausen,Oberhausen,Thai,Panang Curry,57.69,4.5,4.3
65,Sizzling Grove Erlangen,Erlangen,French,Cassoulet,57.22,3.2,2.9
66,Yummy Nest Offenbach,Offenbach,Turkish,Etli Ekmek,49.13,1.4,1.4
67,Grand Grill Erlangen,Erlangen,Thai,Pla Rad Prik (Fried Fish with Chili Sauce),23.26,4.4,2.9
68,Vibrant Cuisine Mülheim,Mülheim,Italian,Risotto,17.5,3.8,5.0
69,Golden Feast Lübeck,Lübeck,French,Macarons,56.64,2.2,4.5
70,Tasty Kitchen Bochum,Bochum,Turkish,Meze Platter,71.43,4.8,2.3
71,Exquisite Eats Koblenz,Koblenz,German,Spätzle,74.68,1.2,3.5
72,Gourmet Gastronomy Mainz,Mainz,Chinese,Sweet & Sour Chicken,70.99,2.5,1.8
73,Flavorful Retreat Bonn,Bonn,Thai,Pla Rad Prik (Fried Fish with Chili Sauce),48.91,3.7,2.9
74,Flavorful House Hamburg,Hamburg,German,Labskaus,55.74,2.3,1.4
75,Delicious Food Spot Bielefeld,Bielefeld,German,Pretzel & Beer,40.36,3.9,5.0
76,Elegant Den Wolfsburg,Wolfsburg,Thai,Pad Kra Pao,75.11,2.3,4.9
77,Delicious Table Wolfsburg,Wolfsburg,Italian,Ossobuco,64.81,4.9,3.4
78,Sizzling Bistro Bielefeld,Bielefeld,Italian,Minestrone Soup,50.7,3.6,2.1
79,Sizzling Corner Salzgitter,Salzgitter,Indian,Tandoori Chicken,28.85,1.5,3.4
80,Fusion Heaven Stuttgart,Stuttgart,French,Tarte Tatin,59.28,3.6,1.3
81,Gourmet Palace Siegen,Siegen,German,Currywurst,1.38,3.6,1.6
82,Vibrant Corner Herne,Herne,German,Bratwurst,74.24,3.5,4.8
83,Zesty Cafe Wuppertal,Wuppertal,Turkish,Menemen,73.52,1.2,2.0
84,Authentic Cuisine Düsseldorf,Düsseldorf,Mediterranean,Manakeesh,26.35,3.9,4.5
85,Authentic Gastronomy Reutlingen,Reutlingen,Turkish,Kumpir,64.98,3.9,2.6
86,Yummy Corner Bottrop,Bottrop,French,Cassoulet,63.14,3.3,1.3
87,Golden Palace Halle (Saale),Halle (Saale),Mexican,Elote,67.05,4.2,2.7
88,Divine Tavern Cologne,Cologne,German,Zwiebelkuchen,34.76,3.2,4.1
89,Sizzling Grill Frankfurt am Main,Frankfurt am Main,Mediterranean,Paella,36.16,2.9,2.5
90,Gourmet Cafe Bremerhaven,Bremerhaven,Thai,Tod Mun Pla (Fish Cakes),73.02,1.9,2.3
91,Royal Burger Spot Aachen,Aachen,Indian,Aloo Paratha,12.06,2.2,2.8
92,Succulent Food Spot Dortmund,Dortmund,Turkish,Simit,26.09,2.9,4.0
93,Crispy Kitchen Leipzig,Leipzig,Mexican,Horchata,79.22,3.9,4.6
94,Flavorful Resto Regensburg,Regensburg,French,Escargots,49.4,2.6,1.5
95,Grand Flavors Bottrop,Bottrop,Turkish,Karniyarik,49.39,4.8,3.3
96,Grand Grove Reutlingen,Reutlingen,Thai,Thai Fried Rice,9.09,2.3,1.6
97,Royal Cafe Braunschweig,Braunschweig,Mediterranean,Manakeesh,35.27,3.7,4.0
98,Authentic House Dresden,Dresden,Thai,Satay Skewers,31.44,4.7,2.2
99,Smoky Nest Heilbronn,Heilbronn,Japanese,Tempura,59.7,3.4,1.8
100,Sizzling Heaven Erlangen,Erlangen,Mediterranean,Paella,17.51,2.8,4.9
101,Fusion Heaven Braunschweig,Braunschweig,Chinese,Chow Mein,17.88,4.7,2.7
102,Cozy Feast Koblenz,Koblenz,Mediterranean,Moussaka,5.34,1.3,4.2
103,Grand Feast Düsseldorf,Düsseldorf,Thai,Pla Rad Prik (Fried Fish with Chili Sauce),45.82,4.9,1.7
104,Sizzling Pizza House Gelsenkirchen,Gelsenkirchen,Mediterranean,Saganaki,23.6,2.2,4.9
105,Grand Palace Wolfsburg,Wolfsburg,Thai,Khao Pad Sapparod (Pineapple Fried Rice),46.47,2.3,1.7
106,Divine Cuisine Erlangen,Erlangen,Chinese,Chow Mein,28.81,1.9,1.5
107,Spicy Den Bonn,Bonn,Mexican,Enchiladas,16.62,3.2,1.2
108,Succulent Grove Bochum,Bochum,Italian,Risotto,13.75,1.9,3.5
109,Fusion Corner Gelsenkirchen,Gelsenkirchen,Thai,Pad Kra Pao,66.39,2.6,2.7
110,Sizzling Corner Magdeburg,Magdeburg,Chinese,Bok Choy Stir Fry,40.88,2.0,1.8
111,Vibrant Heaven Frankfurt am Main,Frankfurt am Main,Indian,Gulab Jamun,54.92,4.7,2.8
112,Delicious Delights Mainz,Mainz,French,Beef Bourguignon,19.25,1.0,4.6
113,Heavenly House Halle (Saale),Halle (Saale),Mediterranean,Spanakopita,73.93,1.7,4.5
114,Juicy Cafe Bergisch Gladbach,Bergisch Gladbach,Indian,Palak Paneer,72.39,1.8,4.4
115,Crispy Bites Reutlingen,Reutlingen,French,Coq au Vin,4.44,4.4,2.6
116,Yummy Diner Heilbronn,Heilbronn,Mexican,Tacos,45.97,4.7,1.6
117,Heavenly Resto Hamburg,Hamburg,Japanese,Okonomiyaki,20.05,1.7,2.4
118,Gourmet Bistro Salzgitter,Salzgitter,Italian,Lasagna,32.01,1.5,3.1
119,Flavorful Resto Hanover,Hanover,Japanese,Onigiri,12.34,4.7,3.0
120,Royal Corner Regensburg,Regensburg,French,Beef Bourguignon,23.56,1.5,1.4
121,Exotic Cuisine Munich,Munich,Chinese,Sichuan Hot Pot,50.45,4.9,1.6
122,Heavenly Nest Leverkusen,Leverkusen,Mediterranean,Briam,71.11,4.2,1.0
123,Yummy Nest Reutlingen,Reutlingen,Mediterranean,Grilled Halloumi,16.46,1.9,4.8
124,Zesty Cafe Wolfsburg,Wolfsburg,Thai,Panang Curry,25.95,2.8,3.5
125,Juicy Delights Essen,Essen,French,Moules Marinières,30.63,1.6,1.2
126,Zesty Bites Wuppertal,Wuppertal,Mediterranean,Greek Salad,37.96,3.5,2.4
127,Fresh Nest Augsburg,Augsburg,French,Quiche Lorraine,73.06,2.0,3.7
128,Sizzling Gastronomy Chemnitz,Chemnitz,Chinese,Lotus Root Salad,31.49,1.1,3.9
129,Royal Nest Kassel,Kassel,French,Croissant,3.9,1.6,2.7
130,Grand Palace Mainz,Mainz,Italian,Margherita Pizza,2.0,4.2,3.4
131,Zesty Corner Leipzig,Leipzig,Mexican,Fajitas,67.83,4.6,2.0
132,Crispy Diner Magdeburg,Magdeburg,Mexican,Sopes,47.34,2.4,2.7
133,Fusion Burger Spot Oberhausen,Oberhausen,German,Rinderroulade,70.41,3.6,3.5
134,Vibrant Heaven Leipzig,Leipzig,Mexican,Tamales,11.86,1.5,3.4
135,Exquisite Bistro Heilbronn,Heilbronn,Japanese,Sushi Combo,13.01,2.7,1.5
136,Fresh Gastronomy Bielefeld,Bielefeld,Mexican,Ceviche,8.47,1.3,3.5
137,Divine Eats Trier,Trier,Turkish,Lahmacun Wrap,61.76,4.5,2.7
138,Yummy Gastronomy Göttingen,Göttingen,French,Ratatouille,45.66,2.8,2.6
139,Spicy Barbecue Berlin,Berlin,Mexican,Pozole,49.92,5.0,4.1
140,Golden Tavern Mannheim,Mannheim,Italian,Ossobuco,62.91,2.7,2.2
141,Elegant Food Spot Augsburg,Augsburg,Japanese,Shabu Shabu,57.74,1.8,1.6
142,Fusion Resto Duisburg,Duisburg,Italian,Caprese Salad,53.68,4.2,4.8
143,Fresh Cuisine Mannheim,Mannheim,Indian,Pav Bhaji,12.36,3.5,4.4
144,Zesty Cafe Wuppertal,Wuppertal,Turkish,Meze Platter,10.0,3.7,2.3
145,Fresh Kitchen Wuppertal,Wuppertal,Japanese,Shabu Shabu,29.23,2.1,2.6
146,Sizzling Eats Cologne,Cologne,Mediterranean,Grilled Halloumi,31.11,1.9,5.0
147,Tasty Delights Düsseldorf,Düsseldorf,Thai,Massaman Curry,26.4,4.1,3.4
148,Heavenly Palace Bremerhaven,Bremerhaven,German,Spätzle,78.77,1.0,3.9
149,Smoky Den Chemnitz,Chemnitz,Indian,Biryani,64.69,4.7,1.1
150,Golden Tavern Göttingen,Göttingen,Japanese,Chirashi Sushi,76.97,4.6,2.6
151,Yummy Eats Offenbach,Offenbach,Mediterranean,Falafel,54.3,1.9,2.7
152,Smoky Nest Dortmund,Dortmund,German,Matjes Brötchen,63.78,2.0,1.0
153,Cozy Pizza House Wuppertal,Wuppertal,Turkish,Kumpir,16.07,4.6,3.4
154,Tasty Den Kassel,Kassel,Indian,Idli Sambar,1.52,4.3,4.1
155,Flavorful Gastronomy Heidelberg,Heidelberg,Italian,Gnocchi,1.73,2.0,1.9
156,Divine Diner Mülheim,Mülheim,Indian,Palak Paneer,12.34,2.5,4.5
157,Rustic Grove Mannheim,Mannheim,Mediterranean,Paella,18.44,2.6,1.4
158,Flavorful Grill Potsdam,Potsdam,Indian,Idli Sambar,66.91,2.2,3.5
159,Divine Flavors Chemnitz,Chemnitz,French,French Onion Soup,3.32,1.3,4.7
160,Sizzling Oasis Hanover,Hanover,Thai,Pla Rad Prik (Fried Fish with Chili Sauce),62.45,2.7,3.7
161,Rustic Oasis Münster,Münster,French,Soufflé,73.3,1.5,1.0
162,Authentic Corner Kassel,Kassel,Italian,Margherita Pizza,55.96,4.5,3.9
163,Flavorful Grill Cologne,Cologne,Italian,Bolognese Pasta,30.29,1.8,1.7
164,Delicious Kitchen Dortmund,Dortmund,German,Schnitzel,68.43,1.9,2.4
165,Grand Gastronomy Magdeburg,Magdeburg,French,Coq au Vin,56.43,4.4,4.4
166,Elegant House Leverkusen,Leverkusen,German,Eisbein mit Sauerkraut,61.84,2.6,2.6
167,Heavenly Pizza House Koblenz,Koblenz,Indian,Chicken Tikka Masala,75.68,2.5,4.9
168,Grand Food Spot Bergisch Gladbach,Bergisch Gladbach,Italian,Tiramisu,28.36,2.0,2.8
169,Succulent Cellar Regensburg,Regensburg,Thai,Kanom Krok (Coconut Pancakes),12.37,2.2,1.2
170,Divine Barbecue Essen,Essen,Thai,Tom Yum Soup,35.42,2.3,2.1
171,Crispy Delights Dortmund,Dortmund,Indian,Idli Sambar,39.07,1.2,1.3
172,Vibrant Cuisine Heidelberg,Heidelberg,Mediterranean,Kibbeh,64.48,2.2,1.0
173,Sizzling Corner Salzgitter,Salzgitter,Mexican,Mole Poblano,45.36,4.9,2.8
174,Flavorful Pizza House Potsdam,Potsdam,French,Crème Brûlée,51.77,3.1,4.1
175,Exquisite Den Göttingen,Göttingen,Chinese,Steamed Fish with Ginger,22.58,3.2,4.1
176,Smoky Diner Hanover,Hanover,Thai,Green Curry,14.77,1.2,1.6
177,Exquisite Bistro Düsseldorf,Düsseldorf,Thai,Mango Sticky Rice,10.44,1.1,1.7
178,Succulent Bistro Nuremberg,Nuremberg,Mediterranean,Baba Ganoush,45.18,4.6,2.5
179,Sizzling Bistro Bonn,Bonn,Japanese,Gyoza,23.55,3.2,4.8
180,Savory Tavern Siegen,Siegen,Chinese,Dim Sum,77.07,2.4,3.0
181,Grand Retreat Heilbronn,Heilbronn,Turkish,Iskender Kebab,79.16,1.5,2.7
182,Smoky Nest Offenbach,Offenbach,Turkish,Köfte,29.91,4.2,3.6
183,Authentic Hub Offenbach,Offenbach,Chinese,Char Siu Pork,39.42,2.8,2.2
184,Tasty Food Spot Mannheim,Mannheim,German,Pretzel & Beer,8.3,2.8,2.9
185,Fresh Burger Spot Koblenz,Koblenz,Indian,Aloo Paratha,2.78,4.0,3.8
186,Tasty Pizza House Bochum,Bochum,Turkish,Şiş Kebab,10.92,3.3,4.5
187,Fresh Gastronomy Nuremberg,Nuremberg,Indian,Dal Makhani,50.31,2.5,4.3
188,Fusion Retreat Hanover,Hanover,Mediterranean,Saganaki,65.19,2.8,4.2
189,Grand Resto Nuremberg,Nuremberg,Italian,Gnocchi,38.06,2.0,4.3
190,Juicy Palace Koblenz,Koblenz,Mediterranean,Moussaka,36.7,2.7,4.9
191,Royal Tavern Münster,Münster,Thai,Khao Pad Sapparod (Pineapple Fried Rice),4.02,3.6,1.8
192,Gourmet Grove Reutlingen,Reutlingen,Italian,Gnocchi,12.94,1.2,3.4
193,Royal Delights Frankfurt am Main,Frankfurt am Main,French,Duck Confit,31.96,3.1,3.3
194,Gourmet Table Gelsenkirchen,Gelsenkirchen,Thai,Som Tum (Papaya Salad),4.04,1.4,3.7
195,Sizzling Corner Salzgitter,Salzgitter,Thai,Tom Yum Soup,11.14,1.2,4.0
196,Heavenly Cellar Offenbach,Offenbach,Mediterranean,Saganaki,41.8,3.4,2.7
197,Gourmet Resto Göttingen,Göttingen,Japanese,Okonomiyaki,13.75,2.4,2.3
198,Elegant Kitchen Wolfsburg,Wolfsburg,Italian,Pasta Carbonara,20.07,1.5,1.1
199,Flavorful Oasis Hamburg,Hamburg,Chinese,Sichuan Hot Pot,32.78,4.2,5.0
200,Authentic Grill Wolfsburg,Wolfsburg,Mexican,Fajitas,3.65,3.4,2.5
201,Zesty Burger Spot Halle (Saale),Halle (Saale),Mediterranean,Greek Salad,62.65,2.9,2.0
202,Authentic Kitchen Offenbach,Offenbach,Italian,Caprese Salad,30.83,2.6,2.2
203,Cozy Hub Reutlingen,Reutlingen,Chinese,Chow Mein,31.24,2.0,2.9
204,Divine Barbecue Offenbach,Offenbach,Indian,Chole Bhature,47.69,3.4,2.4
205,Gourmet Delights Münster,Münster,Italian,Parmigiana,24.07,1.8,3.0
206,Vibrant Bistro Erlangen,Erlangen,Chinese,Hot and Sour Soup,9.36,1.1,3.5
207,Savory Eats Bochum,Bochum,Thai,Satay Skewers,56.02,1.7,1.3
208,Sizzling Pizza House Bochum,Bochum,French,Soufflé,58.69,1.6,4.9
209,Smoky Flavors Siegen,Siegen,Mexican,Horchata,30.82,1.6,2.1
210,Fusion Nest Reutlingen,Reutlingen,German,Matjes Brötchen,40.93,3.9,3.8
211,Yummy Corner Herne,Herne,Turkish,Baklava,1.11,1.5,4.4
212,Exotic Bistro Mainz,Mainz,Thai,Khao Pad Sapparod (Pineapple Fried Rice),50.51,4.4,1.2
213,Vibrant Eats Oberhausen,Oberhausen,French,French Onion Soup,54.07,4.3,1.7
214,Fresh Cuisine Mainz,Mainz,Thai,Pad Thai,65.58,3.5,4.0
215,Savory Diner Berlin,Berlin,Italian,Margherita Pizza,10.36,3.6,2.3
216,Delicious Table Augsburg,Augsburg,Italian,Pasta Carbonara,27.12,3.3,4.2
217,Tasty Gastronomy Göttingen,Göttingen,Chinese,Peking Duck,67.8,4.5,1.7
